iter	Passed	Remaining
0	156	155860
1	157	78541
2	158	52710
3	159	39801
4	161	32057
5	162	26900
6	163	23194
7	164	20427
8	165	18274
9	167	16551
10	168	15146
11	169	13994
12	171	13001
13	172	12152
14	173	11410
15	174	10761
16	176	10193
17	177	9683
18	178	9233
19	180	8831
20	181	8474
21	183	8139
22	184	7836
23	185	7551
24	186	7289
25	188	7045
26	189	6822
27	190	6614
28	191	6420
29	192	6239
30	194	6069
31	195	5910
32	196	5762
33	197	5623
34	199	5495
35	200	5373
36	201	5254
37	203	5142
38	204	5035
39	205	4932
40	206	4835
41	207	4741
42	209	4654
43	210	4569
44	211	4489
45	212	4413
46	214	4344
47	215	4274
48	216	4207
49	217	4141
50	219	4079
51	220	4020
52	221	3963
53	223	3907
54	224	3854
55	225	3802
56	226	3751
57	228	3704
58	229	3659
59	230	3614
60	231	3569
61	233	3525
62	234	3485
63	235	3445
64	236	3406
65	238	3368
66	239	3331
67	240	3297
68	241	3264
69	243	3235
70	244	3204
71	246	3172
72	247	3142
73	248	3111
74	249	3081
75	251	3053
76	252	3026
77	253	2999
78	254	2972
79	256	2946
80	257	2922
81	259	2900
82	259	2869
83	260	2845
84	262	2823
85	263	2800
86	264	2778
87	266	2757
88	267	2735
89	268	2714
90	269	2693
91	270	2673
92	272	2654
93	273	2637
94	274	2617
95	275	2598
96	277	2580
97	278	2561
98	279	2543
99	280	2527
100	282	2510
101	283	2494
102	284	2478
103	285	2462
104	287	2447
105	288	2433
106	289	2419
107	291	2404
108	292	2390
109	293	2376
110	295	2363
111	296	2349
112	297	2335
113	298	2322
114	300	2309
115	301	2296
116	302	2282
117	303	2271
118	305	2259
119	306	2247
120	307	2236
121	308	2222
122	310	2210
123	311	2199
124	312	2187
125	313	2176
126	314	2163
127	316	2153
128	317	2142
129	318	2133
130	320	2122
131	321	2112
132	322	2101
133	323	2091
134	324	2081
135	326	2071
136	327	2061
137	328	2052
138	329	2042
139	330	2033
140	332	2023
141	333	2013
142	334	2004
143	335	1996
144	337	1987
145	338	1978
146	339	1970
147	340	1961
148	341	1953
149	343	1944
150	344	1936
151	345	1928
152	346	1919
153	348	1913
154	349	1905
155	350	1898
156	352	1891
157	353	1883
158	354	1876
159	356	1869
160	356	1859
161	358	1852
162	359	1844
163	360	1838
164	361	1830
165	363	1825
166	364	1818
167	365	1812
168	367	1805
169	368	1798
170	369	1792
171	370	1785
172	372	1779
173	373	1773
174	374	1767
175	376	1761
176	377	1755
177	379	1751
178	380	1746
179	382	1740
180	383	1734
181	384	1728
182	385	1723
183	387	1716
184	388	1711
185	389	1705
186	390	1699
187	392	1693
188	393	1688
189	394	1683
190	396	1677
191	397	1672
192	398	1666
193	399	1661
194	401	1655
195	402	1650
196	403	1644
197	404	1639
198	405	1633
199	407	1628
200	408	1625
201	410	1620
202	411	1615
203	412	1610
204	413	1605
205	415	1600
206	416	1595
207	417	1591
208	419	1586
209	420	1580
210	421	1575
211	422	1571
212	424	1566
213	425	1562
214	426	1557
215	427	1552
216	429	1548
217	430	1543
218	431	1538
219	432	1534
220	434	1530
221	435	1526
222	436	1521
223	438	1518
224	439	1515
225	441	1510
226	442	1506
227	443	1501
228	444	1498
229	446	1493
230	447	1489
231	448	1486
232	450	1482
233	451	1478
234	452	1474
235	454	1470
236	455	1466
237	456	1462
238	457	1458
239	459	1454
240	460	1449
241	461	1446
242	463	1442
243	464	1438
244	465	1434
245	466	1430
246	468	1427
247	469	1424
248	471	1420
249	472	1417
250	473	1413
251	474	1409
252	476	1405
253	477	1401
254	478	1398
255	479	1394
256	481	1390
257	482	1386
258	483	1384
259	485	1381
260	487	1379
261	488	1376
262	489	1373
263	491	1369
264	492	1365
265	493	1362
266	494	1358
267	496	1354
268	497	1351
269	498	1348
270	500	1345
271	501	1342
272	502	1339
273	504	1335
274	505	1332
275	506	1328
276	507	1325
277	509	1322
278	510	1319
279	511	1315
280	513	1313
281	514	1310
282	515	1307
283	517	1303
284	518	1300
285	519	1296
286	520	1293
287	522	1290
288	523	1287
289	524	1284
290	525	1281
291	527	1278
292	528	1275
293	529	1272
294	531	1269
295	532	1266
296	533	1263
297	534	1260
298	536	1257
299	537	1254
300	538	1251
301	540	1248
302	541	1245
303	542	1242
304	543	1239
305	545	1237
306	546	1234
307	548	1231
308	549	1228
309	550	1225
310	552	1223
311	553	1220
312	554	1217
313	555	1214
314	556	1211
315	558	1208
316	559	1206
317	561	1203
318	562	1200
319	563	1197
320	564	1194
321	565	1191
322	567	1188
323	568	1186
324	569	1183
325	570	1180
326	572	1177
327	573	1175
328	575	1173
329	576	1170
330	578	1168
